id,"word_name","meaning","type"
1339,"get a flying color","取得好成绩","proper phrases usage"
1340,"stay focused","继续钻研","proper phrases usage"
1341,"not that difficult","没那么困难","proper phrases usage"
1342,"be driven to do…","被逼做","proper phrases usage"
1343,"pay off her loan","还贷款","proper phrases usage"
1344,"go with the flow","随大流","proper phrases usage"
1345,"sort out garbage","整理垃圾","proper phrases usage"
1346,"be one’s symbol","做标杆","proper phrases usage"
1347,"strike the world","震惊世界","proper phrases usage"
1348,"work and study","工作学习","proper phrases usage"
1349,"turn to somebody","找到某人","proper phrases usage"
1350,"address questions","解决问题","proper phrases usage"
1351,"be lagging behind","落后","proper phrases usage"
1352,"in the latter career","后期生涯","proper phrases usage"
1353,"class performance","课堂表现","proper phrases usage"
1354,"a rush/impulse decision","草率的决定","proper phrases usage"
1355,"relax and feel happy","放松，开心","proper phrases usage"
1356,"Couldn’t help doing","等不及","proper phrases usage"
1357,"chances of … are small","机会很小","proper phrases usage"
1358,"take a lot of energy","费时费力","proper phrases usage"
1359,"enjoy great resources","享受资源","proper phrases usage"
1360,"in the same period of time","同时","proper phrases usage"
1361,"surfing the Internet","上网","proper phrases usage"
1362,"necessities for a week","一周必需品","proper phrases usage"
1363,"get the point of view","明白观点","proper phrases usage"
1364,"personally / I prefer","我个人倾向","proper phrases usage"
1365,"create new music","创作新音乐","proper phrases usage"
1366,"a couple of friends","很多朋友","proper phrases usage"
1367,"academic excellence","学术突出","proper phrases usage"
1368,"broaden your horizon","拓宽视野","proper phrases usage"
1369,"lose credit with others","失去信任","proper phrases usage"
1370,"be coming your way","走自己的路","proper phrases usage"
1371,"take the car to repair","修车","proper phrases usage"
1372,"on the planet earth","在地上","proper phrases usage"
1373,"put on great concerts","开音乐会","proper phrases usage"
1374,"cultivate their mind","陶冶情操","proper phrases usage"
1375,"at a very early stage","在早期","proper phrases usage"
1376,"community service","社区服务","proper phrases usage"
1377,"work in a community","在社区工作","proper phrases usage"
1378,"expand their network","拓展关系网","proper phrases usage"
1379,"enrich own experience","增加经历","proper phrases usage"
1380,"the importance of doing","重要性","proper phrases usage"
1381,"save you tons of time","节约时间","proper phrases usage"
1382,"change place constantly","不断换地方","proper phrases usage"
1383,"a sense of refreshment","焕然一新的感觉","proper phrases usage"
1384,"the law comes into being…","法律的形成","proper phrases usage"
1385,"feel like an adult already","感觉已经成长为大人","proper phrases usage"
1386,"feel down and depressed","感觉沮丧","proper phrases usage"
1387,"achieve your ultimate goal","达到最终目标","proper phrases usage"
1388,"determine your promotion","坚定信念","proper phrases usage"
1389,"end up achieving nothing","结束追求","proper phrases usage"
1390,"struggle for hunger issues","为生计奋斗","proper phrases usage"
1391,"become the ultimate victim","成为了最终受害者","proper phrases usage"
1392,"generations after generations","一代又一代人","proper phrases usage"
1393,"excel in their certain fields","在各自领域脱引而出","proper phrases usage"
1394,"enjoy the cosmopolitan","享受大城市的生活","proper phrases usage"
1395,"the great educational system","很好的教育","proper phrases usage"
1396,"give you better chances to …","给你更好的机会","proper phrases usage"
1397,"save up all her life for a house","赚了一辈子钱买房子","proper phrases usage"
1398,"be already in her death bed","在弥留之际","proper phrases usage"
1399,"go with a fixed schedule","固定的生活作息","proper phrases usage"
1400,"get my own transportation","自己上下班","proper phrases usage"
1401,"get relaxed and be alone","独自放松","proper phrases usage"
1402,"first come to my mind","第一个想到的","proper phrases usage"
1403,"be a great waste for us","对我们来说很浪费","proper phrases usage"
1404,"recycle those useful things","循环利用有用的东西","proper phrases usage"
1405,"protect our environment","保护环境","proper phrases usage"
1406,"instead of solely doing… …","不仅仅只做","proper phrases usage"
1407,"guarantee a good job","保证一个更好的职业","proper phrases usage"
1408,"be a waste of time","浪费时间","proper phrases usage"
1409,"prepare for your future job","为未来职业做准备","proper phrases usage"
1410,"give a great practice","好好练习","proper phrases usage"
1411,"focus on your interest","专注兴趣","proper phrases usage"
1412,"which help with my job","有利于工作","proper phrases usage"
1413,"see a lot of value in…","发现很大价值","proper phrases usage"
1414,"chase after the new fashion","追求新时尚","proper phrases usage"
1415,"be totally a torture","简直是折磨","proper phrases usage"
1416,"terrifying and scaring","恐怖的","proper phrases usage"
1417,"pick a different flavor","选另一个口味","proper phrases usage"
1418,"you can choose by choice","你能做自己的选择","proper phrases usage"
1419,"reconstruction work","重造工作","proper phrases usage"
1420,"get back to the normal life","回归正常生活","proper phrases usage"
1421,"get involved in clubs","融入社团","proper phrases usage"
1422,"lose fun out of game","失去游戏的快乐","proper phrases usage"
1423,"consider different perspectives","考虑多方面观点","proper phrases usage"
1424,"raise the awareness of …","提高警惕","proper phrases usage"
1425,"be in full tension all the time","一直紧张状态","proper phrases usage"
1426,"make the other party happy","让其他人开心","proper phrases usage"
1427,"choose in a more practical way","选择一个更实际的方式","proper phrases usage"
1428,"have a huge financial burden","承受巨大经济负担","proper phrases usage"
1429,"be afraid of any sudden things","害怕突然转变","proper phrases usage"
1430,"express their personality well","展现自我","proper phrases usage"
1431,"wear something in dark colors","穿深色衣服","proper phrases usage"
1432,"what your interest lies in ……","你的兴趣基于","proper phrases usage"
1433,"might choose the wrong major","选错了专业","proper phrases usage"
1434,"learn so many and good at none","学了很多一样都不精通","proper phrases usage"
1435,"Interest is the best teacher","兴趣是最好的老师","proper phrases usage"
1436,"regulate students’ scores strictly","严格要求学生分数","proper phrases usage"
1437,"I like a proper challenge","我喜欢有点难度的挑战","proper phrases usage"
1438,"categorize the words into columns","将单词分类进方框","proper phrases usage"
1439,"solve hard math problems","解决数学难题","proper phrases usage"
1440,"be a great disturbance for","成为一个巨大干扰","proper phrases usage"
1441,"ask information from senior students","文学学长问题","proper phrases usage"
1442,"I’m looking forward to … very much","我很期待","proper phrases usage"
1443,"deal with in/on a daily basis","处理日常问题","proper phrases usage"
1444,"have smooth communication with","平和的交流","proper phrases usage"
1445,"appoint you to a certain position","指派你到特定职位","proper phrases usage"
1446,"producing the greatest music","创作最好的音乐","proper phrases usage"
1447,"put a little bit color to our society","让社会更加多姿多彩","proper phrases usage"
1448,"exhibit their works in art museums","在博览馆展示他们的作品","proper phrases usage"
1449,"be more of a leader not a follower","做领袖不做追随者","proper phrases usage"
1450,"earn more money to pay back to","赚更多的钱来回报","proper phrases usage"
1451,"give you control over your own time","自己掌控自己时间","proper phrases usage"
1452,"show up like 20 or 30 minutes late 20-30","分钟","proper phrases usage"
1453,"feel really awkward around strangers","陌生人面前很尴尬","proper phrases usage"
1454,"don’t feel comfortable socializing","社交感觉不好","proper phrases usage"
1455,"get practical working experience","得到实际的工作经验","proper phrases usage"
1456,"take responsibility as a safe driver","付起一个司机的责任","proper phrases usage"
1457,"cause a big burden for everyone","给每个人增加了负担","proper phrases usage"
1458,"gain a deeper understanding of it","增加更深的理解","proper phrases usage"
1459,"learn all aspects of a certain area","学习各个领域的知识","proper phrases usage"
1460,"leave a good impression on the boss","给上司留下好印象","proper phrases usage"
1461,"enable a good working atmosphere","创造一个好的工作环境","proper phrases usage"
1462,"never stop making my mouth water","止不住流口水","proper phrases usage"
1463,"your heart will jump out of your body","心脏跳出来","proper phrases usage"
1464,"gain a different perspective of things","有了新的理解","proper phrases usage"
1465,"have access to entertainment facilities","有娱乐设施","proper phrases usage"
1466,"ensure you a good quality of work","确定工作质量","proper phrases usage"
1467,"get things done efficiently and fast","高效完成工作","proper phrases usage"
1468,"get to know more about the local people","了解更多当地人民","proper phrases usage"
1469,"the most important aspect for choosing…","选择更重要的方面","proper phrases usage"
1470,"further education in a foreign country","出国深造","proper phrases usage"
1471,"great talent and spirits from himself","他出色的天赋和精神","proper phrases usage"
1472,"judge people’s talents to assign them","根据能力指派","proper phrases usage"
1473,"comprehensive schools are located in","大多数学校坐落在","proper phrases usage"
1474,"praise him for his patience and persistence","为他的耐心和坚持点赞","proper phrases usage"
1475,"stay in lines with a bunch of other people","再一大排人中排队","proper phrases usage"
1476,"see the advancement in these new things","提前预知新东西","proper phrases usage"
1477,"catch up with the society’s development","追随时代发展","proper phrases usage"
1478,"be up with the society development pace","跟随社会发展","proper phrases usage"
1479,"taste the famous and delicious dumplings","品尝美味的饺子","proper phrases usage"
1480,"study several classes","学很多门课","proper phrases usage"
1481,"coordinate different people to do their work","与不同人合作来完成工作","proper phrases usage"
1482,"be eager to know more about the news event","想知道新的事件","proper phrases usage"
1483,"learn about the diversity in different cultures","学习文化差异","proper phrases usage"
1484,"have fun and enjoy the process of watching","享受观看的过程","proper phrases usage"
1485,"have veggies and pork or other kind of meat","有蔬菜和各种肉","proper phrases usage"
1486,"see him staying up doing different assignments","看他熬夜做作业","proper phrases usage"
1487,"lead and organize people to do a social activity","领导人们进行社会活动","proper phrases usage"
1488,"leave you spending hours on the way standing up","让你站立数小时","proper phrases usage"
1489,"a smooth communication from the top to the bottom","细致的讨论","proper phrases usage"
1490,"arrange the timetable according to my own knowledge","以我的知识规划时间表","proper phrases usage"
1491,"practice my interpersonal skills and organizational skills","练习我的个人技巧","proper phrases usage"
1492,"help you reducing the amount of exhaust from cars","帮助减少汽车尾气","proper phrases usage"
1493,"have a fluent or smooth communication with","流利的交流","proper phrases usage"
1494,"perfect your skill in speaking English","改善你的英语交流能力","proper phrases usage"
1495,"let us really enjoy the weather and relax yourself","让我们享受生活","proper phrases usage"
1496,"learn in a steady pace day by day","每天遵守同样的生活步伐","proper phrases usage"
